GSE85169	POLR2A	RMS_Trametinib	GSM2259158	GSM2259146	0	SRP080881	PRJNA336374
GSE85169	POLR2AphosphoS2	RMS_DMSO	GSM3103106		0	SRP080881	PRJNA336374
GSE85169	POLR2AphosphoS2	RMS_Trametinib	GSM3103107		0	SRP080881	PRJNA336374
GSE78801	POLR2A	SF8628	GSM2265627;GSM2265626	GSM2265643;GSM2265644	0	SRP071040	PRJNA313974
GSE78801	POLR2A	SU-DIPG-IV	GSM2265658	GSM2265660	0	SRP071040	PRJNA313974
GSE85693	POLR2A	TL-Om1_DMSO	GSM2281662	GSM2281663	0	SRP082213	PRJNA339127
GSE85693	POLR2A	TL-Om1_THZ1	GSM2281664	GSM2281665	0	SRP082213	PRJNA339127
GSE86504	POLR2A	HT-1080_NTC	GSM2304701	GSM2304698	0	SRP087387	PRJNA342098
GSE86504	POLR2A	HT-1080_shM	GSM2304702	GSM2304698	0	SRP087387	PRJNA342098
GSE86511	POLR2AphosphoS2	U-87MG-ATCC	GSM2304867	GSM2304856	0	SRP087437	PRJNA342118
GSE86511	POLR2AphosphoS2	U-87MG-ATCC_DOX	GSM2304868	GSM2304858	0	SRP087437	PRJNA342118
GSE86511	POLR2A	U-87MG-ATCC	GSM2304870	GSM2304856	0	SRP087437	PRJNA342118
GSE86511	POLR2A	U-87MG-ATCC_DOX	GSM2304871	GSM2304858	0	SRP087437	PRJNA342118
GSE86511	POLR2A	BT-168	GSM2304875	GSM2304860	0	SRP087437	PRJNA342118
GSE86511	POLR2A	BT-168_DOX	GSM2304876	GSM2304862	0	SRP087437	PRJNA342118
GSE86556	POLR2A	HCT-116_EV_plusQ	GSM2305574	GSM2305573	0	SRP087630	PRJNA342303
GSE86556	POLR2AphosphoS2	HCT-116_EV_plusQ	GSM2305575	GSM2305573	0	SRP087630	PRJNA342303
GSE86556	POLR2A	HCT-116_EV_minusQ	GSM2305576	GSM2305573	0	SRP087630	PRJNA342303
GSE86556	POLR2AphosphoS2	HCT-116_EV_minusQ	GSM2305577	GSM2305573	0	SRP087630	PRJNA342303
GSE86556	POLR2A	HCT-116_MYCER_minusQ	GSM2305578	GSM2305573	0	SRP087630	PRJNA342303
GSE86556	POLR2AphosphoS2	HCT-116_MYCER_minusQ	GSM2305579	GSM2305573	0	SRP087630	PRJNA342303
GSE86855	POLR2A	MDA-MB-231	GSM2309434	GSM2309432;GSM2309426	0	SRP089784	PRJNA342781
GSE86855	POLR2A	MDA-MB-231_shSET1B	GSM2309435	GSM2309433;GSM2309427	0	SRP089784	PRJNA342781
GSE86981	POLR2A	fetal-retinal-tissue-13	GSM2316354	GSM2316359	0	SRP089967	PRJNA343125
GSE86981	POLR2A	fetal-retinal-tissue-15	GSM2316355	GSM2316361	0	SRP089967	PRJNA343125
GSE86981	POLR2A	fetal-retinal-tissue-20	GSM2316356	GSM2316364	0	SRP089967	PRJNA343125
GSE86981	POLR2A	fetal-retinal-tissue-23	GSM2316357	GSM2316365	0	SRP089967	PRJNA343125
GSE86981	POLR2A	retinoblastoma	GSM2316358	GSM2316368	0	SRP089967	PRJNA343125
GSE87324	POLR2A	TC-32	GSM2327769	GSM2327773	0	SRP090392	PRJNA344334
GSE87324	POLR2A	TC-32_Etoposide	GSM2327770	GSM2327774	0	SRP090392	PRJNA344334
GSE87324	POLR2A	EWS-502	GSM2327775	GSM2327779	0	SRP090392	PRJNA344334
GSE87324	POLR2A	EWS-502_Etoposide	GSM2327776	GSM2327780	0	SRP090392	PRJNA344334
GSE87324	POLR2A	IMR-90	GSM2327781	GSM2327785	0	SRP090392	PRJNA344334
GSE87324	POLR2A	IMR-90_Etoposide	GSM2327782	GSM2327786	0	SRP090392	PRJNA344334
GSE87324	POLR2A	U2OS	GSM2327787	GSM2327791	0	SRP090392	PRJNA344334
GSE87324	POLR2A	U2OS_Etoposide	GSM2327788	GSM2327792	0	SRP090392	PRJNA344334
GSE87470	POLR2A	HeLa	GSM2332317	GSM2332313	0	SRP090618	PRJNA344878
GSE87562	POLR2A	GM00739_UV_0h	GSM2333816	GSM2333828	0	SRP090813	PRJNA345269
GSE87562	POLR2A	GM00739_UV_8h	GSM2333817	GSM2333828	0	SRP090813	PRJNA345269
GSE87562	POLR2A	GM00739_UV_1d	GSM2333818	GSM2333828	0	SRP090813	PRJNA345269
GSE87562	POLR2A	GM00739_Mut_UV_1d	GSM2333819	GSM2333828	0	SRP090813	PRJNA345269
GSE89179	POLR2A	hFOB-1-19_siCon	GSM2360005	GSM2360020	0	SRP092061	PRJNA350526
GSE89179	POLR2A	hFOB-1-19_siCHD1	GSM2360006	GSM2360021	0	SRP092061	PRJNA350526
GSE89212	POLR2AphosphoS5	Huh-7	GSM2360956	GSM2360954	0	SRP092112	PRJNA350685
GSE89212	POLR2AphosphoS5	Huh-7_CoV	GSM2360957	GSM2360954	0	SRP092112	PRJNA350685
GSE89212	POLR2AphosphoS5	Huh-7_IL1	GSM2360958	GSM2360955	0	SRP092112	PRJNA350685
GSE74520	POLR2A	GBM3565_IC	GSM2360991	GSM2360988	0	SRP065543	PRJNA300650
GSE74520	POLR2A	GBM3565	GSM2360995	GSM2360988	0	SRP065543	PRJNA300650
GSE74520	POLR2A	GBM528_IC	GSM2360997	GSM2360996	0	SRP065543	PRJNA300650
GSE74520	POLR2A	GBM528	GSM2360998	GSM2360996	0	SRP065543	PRJNA300650
GSE89384	POLR2A	MOLT-4_DMSO	GSM2367763	GSM2367762	0	SRP092469	PRJNA352097
GSE89384	POLR2A	MOLT-4_NVP-2	GSM2367764	GSM2367762	0	SRP092469	PRJNA352097
GSE89384	POLR2A	MOLT-4_SNS	GSM2367765	GSM2367762	0	SRP092469	PRJNA352097
GSE89384	POLR2A	MOLT-4_THAL	GSM2367766	GSM2367762	0	SRP092469	PRJNA352097
GSE89404	POLR2A	naive-CD4	GSM2370637		0	SRP092452	PRJNA352212
GSE89404	POLR2A	TCM-CD4	GSM2370645		0	SRP092452	PRJNA352212
GSE89404	POLR2A	TEM-CD4 	GSM2370653		0	SRP092452	PRJNA352212
GSE82116	POLR2A	MV4-11_DMSO	GSM2405921	GSM2405929	0	SRP075967	PRJNA324085
GSE82116	POLR2AphosphoS2	MV4-11_DMSO	GSM2405922	GSM2405929	0	SRP075967	PRJNA324085
GSE82116	POLR2A	MV4-11_dTAG-13	GSM2405925	GSM2405929	0	SRP075967	PRJNA324085
GSE82116	POLR2AphosphoS2	MV4-11_dTAG-13	GSM2405926	GSM2405929	0	SRP075967	PRJNA324085
GSE93030	POLR2A	HUVEC_modifiedRNA_GFP	GSM2442781	GSM2442791	0	SRP095850	PRJNA359488
GSE93030	POLR2A	HUVEC_modifiedRNA_ETS1	GSM2442782	GSM2442791	0	SRP095850	PRJNA359488
GSE93030	POLR2A	HUVEC_siRNA_ETS1	GSM2442783	GSM2442791	0	SRP095850	PRJNA359488
